1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,0,0,0,0
1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,0,0,0,0
1,3,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,4,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,5,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,6,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,7,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,8,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,9,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,10,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,11,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,2,0,0,0
2,12,1,0,0,0,0,1,1,0,0,0,0,1,4,"Move arm",0,0,0,0,0
2,13,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,14,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,15,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,3,0,0,0
2,16,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,3,0,0,0
2,17,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,3,0,0,0
2,18,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,3,0,0,0
2,19,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,20,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,21,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,22,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,23,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,24,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,25,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,6,0,0,0
2,26,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,27,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,28,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,29,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,30,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,8,0,0,0
2,31,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,32,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,33,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,9,0,0,0
2,34,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,35,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,10,0,0,0
2,36,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,37,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,38,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,39,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,40,1,0,0,0,0,1,1,0,0,0,0,1,1,"Turn right",0,0,0,0,0
2,41,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
2,42,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
2,43,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
3,44,1,0,0,0,0,1,1,0,0,0,0,1,2,"Move front",0,0,0,0,0
3,45,1,0,0,0,0,1,1,0,0,0,0,1,4,"Move arm",0,0,0,0,0
4,46,1,0,0,0,0,1,1,0,0,0,0,1,0,"Turn left",0,10,0,0,0
4,47,1,0,0,0,0,1,1,0,0,0,0,1,3,"Move back",0,0,0,0,0
4,48,1,0,0,0,0,1,1,0,0,0,0,1,4,"Move arm",0,0,0,0,0
